Unnamed: 0,station,sample number,longitude (° E),latitude (°N),Cr(mg/kg),Cu(mg/kg),Zn(mg/kg),As(mg/kg),Cd(mg/kg),Pb(mg/kg),Hg(mg/kg),Ni(mg/kg),Al2O3 (%),clay (%),silt (%),sand (%),"mean grain size(Mz, Φ)",water depth (m)
,189,BC189,118.26,38.86,46.291,46.288,59.712,7.244,0.401,28.374,0.105,44.454,12.815,100.0,0.0,0.0,8.17,36.04
,190,BC190,118.26,38.94,105.313,47.08,114.464,11.279,0.394,31.328,0.137,52.729,13.241,0.0,100.0,0.0,7.8,25.75
,191,BC191,118.26,38.93,12.919,38.058,92.124,7.153,0.232,32.603,0.122,56.153,13.267,0.0,100.0,0.0,6.4,22.57
,192,BC192,118.8,38.78,33.347,38.846,85.397,9.838,0.384,14.161,0.174,53.645,12.513,43.63,56.37,0.0,4.67,35.35
,193,BC193,118.99,38.78,124.299,49.879,95.984,10.486,0.245,23.993,0.184,54.622,12.273,96.93,0.06,3.01,7.48,28.81
,194,BC194,118.88,38.82,11.326,37.381,101.693,5.696,0.387,16.467,0.042,33.333,10.84,13.18,1.61,85.21,7.27,31.4
,195,BC195,118.26,38.9,19.341,45.482,89.793,13.279,0.236,29.08,0.018,37.409,11.891,100.0,0.0,0.0,6.76,25.02
,196,BC196,118.6,38.87,72.98,47.12,126.584,12.932,0.452,28.442,0.158,44.902,11.903,100.0,0.0,0.0,4.53,30.36
,197,BC197,118.7,38.97,70.447,24.264,126.584,5.295,0.421,34.659,0.199,75.028,12.796,0.0,100.0,0.0,6.98,20.73
,198,BC198,118.26,38.98,99.848,47.49,95.389,7.534,0.285,29.342,0.098,27.671,11.864,100.0,0.0,0.0,4.14,30.34
,199,BC199,118.26,38.98,72.716,27.366,99.829,11.965,0.472,17.84,0.151,18.418,11.889,98.87,0.66,0.47,5.92,34.41
,200,BC200,118.72,38.91,129.967,49.879,50.561,17.923,0.339,33.931,0.135,44.741,11.751,0.04,99.96,0.0,7.7,27.77
,201,BC201,118.94,38.72,81.128,48.084,126.334,8.681,0.441,26.792,0.121,32.443,11.068,40.95,59.05,0.0,4.77,31.45
,202,BC202,118.31,38.82,124.188,41.345,31.654,4.806,0.274,23.287,0.189,33.826,12.067,41.64,0.51,57.85,2.2,24.86
,203,BC203,118.52,38.93,113.137,46.343,99.915,11.174,0.253,26.375,0.122,33.809,10.962,1.47,15.79,82.74,4.91,27.21
,204,BC204,118.72,38.82,75.52,49.367,61.897,9.716,0.23,24.98,0.065,41.186,9.676,100.0,0.0,0.0,5.37,21.71
,205,BC205,118.26,38.91,115.577,40.515,126.584,11.384,0.434,22.974,0.176,42.005,12.024,99.26,0.28,0.46,7.45,31.83
,206,BC206,118.37,38.79,126.308,40.782,126.584,12.824,0.398,26.911,0.198,18.692,10.964,0.0,100.0,0.0,7.39,29.13
,207,BC207,118.58,38.9,89.887,36.483,107.48,5.756,0.438,28.33,0.069,20.466,12.053,100.0,0.0,0.0,6.8,33.78
,208,BC208,118.67,38.92,97.625,49.879,124.866,4.806,0.271,14.161,0.068,31.746,11.835,98.71,0.17,1.12,6.86,24.99
,209,BC209,118.87,38.93,94.319,13.183,120.337,6.91,0.513,14.161,0.154,56.06,11.795,65.67,23.39,10.94,7.9,26.17
,210,BC210,118.78,38.98,81.012,20.52,102.061,11.771,0.269,21.527,0.122,33.271,12.003,0.0,100.0,0.0,4.04,31.98
,211,BC211,118.28,38.91,69.009,38.541,90.998,10.878,0.419,17.274,0.128,36.682,11.81,52.14,1.59,46.27,7.47,31.83
,212,BC212,118.52,38.89,112.682,47.073,69.248,18.041,0.396,32.131,0.144,57.54,11.716,98.3,0.13,1.56,3.71,25.82
,213,BC213,118.71,38.83,70.264,40.598,82.98,10.199,0.398,14.161,0.108,26.108,12.267,40.95,59.05,0.0,3.28,32.69
,214,BC214,118.74,38.73,103.028,39.191,22.378,9.511,0.04,21.046,0.072,13.884,11.399,100.0,0.0,0.0,1.4,30.96
,215,BC215,118.75,38.93,63.601,9.685,125.298,6.892,0.362,21.794,0.193,42.393,9.318,99.47,0.01,0.53,3.7,23.28
,216,BC216,118.41,38.87,32.123,45.091,57.133,16.377,0.384,25.191,0.199,58.283,9.878,96.92,0.19,2.89,6.57,23.3
,217,BC217,118.92,38.67,130.133,39.626,79.789,8.017,0.274,23.013,0.136,66.314,13.133,100.0,0.0,0.0,5.8,24.73
,218,BC218,118.72,38.88,34.802,30.966,126.584,5.028,0.188,35.312,0.176,63.402,11.546,100.0,0.0,0.0,6.26,23.76
,219,BC219,118.93,38.7,46.916,17.106,67.836,5.835,0.42,22.289,0.014,54.384,12.849,44.03,10.34,45.63,3.57,19.47
,220,BC220,118.4,38.92,94.728,30.531,77.709,6.733,0.252,18.165,0.024,65.664,12.225,0.0,100.0,0.0,7.01,30.96
,221,BC221,118.61,38.67,28.432,35.564,92.474,10.815,0.38,25.831,0.14,29.825,11.676,89.8,0.41,9.79,5.36,22.02
,222,BC222,118.34,38.89,59.083,43.748,112.74,11.528,0.274,27.054,0.132,38.989,11.665,0.0,100.0,0.0,5.44,28.1
,223,BC223,118.83,38.67,93.229,49.879,87.558,14.124,0.437,22.223,0.161,29.471,11.193,100.0,0.0,0.0,5.02,34.92
,224,BC224,118.91,38.77,108.009,49.879,63.05,7.521,0.232,28.0,0.114,53.462,12.128,90.3,0.08,9.61,6.79,28.77
,225,BC225,118.99,38.86,120.117,32.678,116.279,9.541,0.398,28.059,0.133,33.769,11.45,95.45,0.04,4.51,5.47,31.34
,226,BC226,118.26,38.69,135.537,10.482,126.584,4.806,0.366,30.313,0.186,14.904,11.879,100.0,0.0,0.0,7.57,23.94
,227,BC227,118.26,38.67,39.796,16.352,126.584,6.245,0.342,32.964,0.04,28.483,12.061,0.0,100.0,0.0,4.98,29.99
,228,BC228,118.74,38.98,43.841,45.931,89.886,14.23,0.439,27.151,0.16,59.52,11.676,96.32,2.99,0.7,7.17,28.66
,229,BC229,118.62,38.88,53.922,33.853,116.058,9.896,0.307,31.209,0.199,38.503,11.924,0.0,100.0,0.0,7.4,32.34
,230,BC230,118.68,38.97,117.77,39.054,58.944,9.85,0.298,25.0,0.191,56.95,10.365,0.0,100.0,0.0,3.74,36.04
,231,BC231,118.68,38.79,98.548,44.792,83.515,10.037,0.431,23.795,0.159,18.554,9.12,88.73,8.84,2.43,7.29,25.86
,232,BC232,118.52,38.75,116.695,19.755,71.331,12.486,0.492,26.055,0.159,52.786,8.225,100.0,0.0,0.0,6.94,20.81
,233,BC233,118.72,38.79,89.841,47.311,99.165,10.52,0.224,26.786,0.132,36.129,12.048,0.0,100.0,0.0,3.27,29.78
,234,BC234,118.99,38.93,88.828,45.851,110.243,9.863,0.431,19.16,0.18,57.823,12.054,4.93,3.12,91.95,7.62,26.65
,235,BC235,118.59,38.98,74.013,11.149,59.359,15.652,0.232,28.499,0.199,56.329,12.135,70.31,1.64,28.05,3.04,33.01
,236,BC236,118.73,38.74,112.732,17.714,102.063,4.806,0.133,18.116,0.166,26.954,11.636,0.0,100.0,0.0,8.0,34.17
,237,BC237,118.69,38.67,26.271,32.427,95.226,4.806,0.492,19.484,0.145,32.303,10.249,51.44,29.67,18.89,5.14,32.72
,238,BC238,118.93,38.8,135.537,24.626,97.015,16.167,0.167,14.161,0.105,60.06,12.192,24.21,68.28,7.51,3.15,30.46
,239,BC239,118.3,38.75,12.011,35.557,92.782,4.806,0.287,14.161,0.139,36.601,11.966,24.86,19.9,55.24,2.43,30.34
,240,BC240,118.59,38.89,69.765,42.616,107.067,12.848,0.393,26.54,0.169,28.84,11.603,100.0,0.0,0.0,8.23,25.95
,241,BC241,118.85,38.75,16.708,44.079,96.21,13.82,0.325,28.403,0.199,57.891,12.612,97.7,1.57,0.73,7.95,19.62
,242,BC242,118.32,38.84,43.789,36.993,126.584,10.03,0.405,17.824,0.059,41.829,11.628,89.3,0.11,10.59,7.61,28.06
,243,BC243,118.69,38.91,17.204,47.592,121.264,11.885,0.127,17.963,0.157,52.169,11.973,0.0,100.0,0.0,3.73,31.22
,244,BC244,118.99,38.9,103.685,42.995,126.256,5.763,0.482,27.622,0.014,55.618,12.653,100.0,0.0,0.0,7.44,34.06
,245,BC245,118.9,38.67,116.4,43.713,100.916,11.201,0.467,17.484,0.199,39.436,9.945,1.44,0.86,97.7,3.05,30.43
,246,BC246,118.76,38.98,101.005,34.254,96.907,12.003,0.447,27.478,0.199,33.696,12.313,2.68,1.75,95.57,3.36,29.45
,247,BC247,118.26,38.98,11.326,20.89,126.584,4.806,0.223,15.045,0.138,23.345,6.25,97.62,0.55,1.83,7.59,24.88
,248,BC248,118.99,38.82,131.737,37.12,52.391,10.439,0.422,25.657,0.199,35.333,11.591,0.01,99.99,0.0,6.27,30.29
,249,BC249,118.52,38.86,93.096,22.847,124.749,20.285,0.399,31.819,0.199,46.253,11.757,80.01,0.17,19.82,2.94,26.21
,250,BC250,118.7,38.9,94.807,31.76,86.992,9.75,0.268,31.758,0.18,52.167,12.568,0.0,100.0,0.0,7.24,23.32
,251,BC251,118.26,38.98,25.47,23.639,109.621,11.766,0.437,28.522,0.166,65.062,12.151,65.7,10.33,23.96,3.31,24.13
,252,BC252,118.99,38.94,52.852,15.415,73.786,7.177,0.423,23.635,0.142,30.029,12.429,100.0,0.0,0.0,7.77,30.81
,253,BC253,118.99,38.76,98.979,47.137,115.674,4.806,0.465,24.455,0.133,52.322,12.463,34.26,65.4,0.34,7.19,27.37
,254,BC254,118.59,38.89,11.326,23.471,126.584,4.806,0.295,21.135,0.15,23.851,12.199,15.28,1.69,83.02,7.24,26.06
,255,BC255,118.65,38.96,60.039,45.487,95.8,4.806,0.269,29.137,0.199,34.272,11.461,0.0,100.0,0.0,7.18,35.9
,256,BC256,118.99,38.92,34.613,15.892,69.609,11.082,0.375,26.185,0.164,33.325,12.166,0.0,100.0,0.0,3.75,24.07
,257,BC257,118.67,38.98,98.759,12.901,92.942,11.81,0.344,26.273,0.12,29.817,10.632,92.82,0.56,6.62,3.97,29.48
,258,BC258,118.57,38.82,67.641,48.543,124.161,5.787,0.384,14.161,0.014,44.533,11.77,100.0,0.0,0.0,5.37,29.83
,259,BC259,118.75,38.94,82.262,39.036,96.758,10.801,0.224,26.908,0.125,44.443,11.717,92.01,5.55,2.44,8.23,33.43
,260,BC260,118.93,38.88,106.021,34.873,84.043,4.806,0.118,24.255,0.17,17.354,12.453,92.21,1.97,5.82,4.69,31.55
,261,BC261,118.79,38.86,90.219,49.879,86.279,15.255,0.387,14.161,0.077,57.017,12.498,90.35,0.25,9.41,6.97,25.94
,262,BC262,118.99,38.71,71.474,17.828,78.047,5.071,0.153,14.161,0.027,38.656,12.343,0.0,100.0,0.0,6.8,23.48
,263,BC263,118.26,38.72,62.887,32.439,114.438,4.806,0.215,19.62,0.199,42.349,12.458,81.22,1.76,17.02,4.04,32.07
,264,BC264,118.93,38.88,55.635,30.062,84.209,13.338,0.378,18.318,0.156,27.373,12.302,0.06,99.94,0.0,4.92,24.72
,265,BC265,118.89,38.92,46.635,22.133,117.58,5.651,0.185,19.874,0.107,33.029,11.872,100.0,0.0,0.0,6.64,30.47
,266,BC266,118.57,38.96,53.733,25.549,60.84,6.413,0.297,24.612,0.113,36.781,12.158,26.01,27.38,46.61,3.94,36.04
,267,BC267,118.68,38.95,81.525,37.572,116.167,11.696,0.413,26.138,0.144,52.912,10.005,0.0,100.0,0.0,6.95,26.08
,268,BC268,118.59,38.77,57.285,10.871,67.06,7.963,0.109,25.643,0.153,16.283,12.463,100.0,0.0,0.0,3.72,27.65
,269,BC269,118.81,38.79,87.437,34.001,90.483,13.65,0.379,15.913,0.13,58.444,12.023,96.41,0.03,3.56,7.35,24.1
,270,BC270,118.75,38.98,103.878,34.204,54.038,5.49,0.452,22.003,0.193,49.289,10.663,100.0,0.0,0.0,5.15,24.83
,271,BC271,118.34,38.76,91.16,37.275,62.334,18.977,0.145,26.464,0.199,33.057,11.983,5.59,89.0,5.42,2.97,21.35
,272,BC272,118.86,38.77,55.811,35.097,102.967,4.806,0.353,35.3,0.199,30.964,12.46,94.35,0.11,5.54,7.96,34.06
,273,BC273,118.99,38.82,46.61,49.879,107.303,4.806,0.234,14.161,0.014,44.321,12.068,42.01,56.48,1.51,7.25,34.99
,274,BC274,118.57,38.78,99.948,21.6,107.448,5.149,0.368,27.367,0.199,58.449,12.512,1.14,2.01,96.85,2.12,26.99
,275,BC275,118.35,38.91,71.656,22.65,114.25,5.483,0.412,28.235,0.138,49.734,11.052,10.5,13.82,75.68,2.25,29.35
,276,BC276,118.74,38.96,30.95,27.483,125.365,9.118,0.332,29.684,0.164,54.117,12.072,77.88,22.12,0.0,7.26,34.91
,277,BC277,118.99,38.91,76.594,25.218,117.729,4.806,0.36,24.708,0.014,67.123,10.903,100.0,0.0,0.0,8.11,36.04
,278,BC278,118.99,38.97,105.11,49.879,122.808,5.912,0.283,21.808,0.014,44.388,11.993,100.0,0.0,0.0,8.23,30.15
,279,BC279,118.93,38.68,93.005,25.54,101.641,4.806,0.359,28.847,0.185,29.516,11.643,0.0,100.0,0.0,7.03,27.35
,280,BC280,118.95,38.67,90.882,49.151,44.962,7.365,0.294,29.894,0.172,33.6,12.859,100.0,0.0,0.0,8.23,31.43
,281,BC281,118.98,38.92,96.435,23.721,116.446,4.806,0.121,28.114,0.131,60.806,13.009,0.0,100.0,0.0,5.7,29.25
,282,BC282,118.95,38.8,126.533,31.378,107.709,8.868,0.467,26.592,0.101,67.028,10.503,0.0,100.0,0.0,7.19,31.69
,283,BC283,118.45,38.98,112.056,38.281,98.569,4.806,0.438,22.029,0.199,47.935,9.104,59.99,2.01,38.0,6.5,29.27
,284,BC284,118.86,38.85,108.832,32.336,68.353,4.86,0.303,21.31,0.166,40.119,10.42,91.74,4.38,3.88,7.62,32.45
,285,BC285,118.8,38.98,121.316,49.056,97.691,6.431,0.254,30.434,0.173,57.066,12.102,85.48,8.38,6.14,7.04,33.22
,286,BC286,118.71,38.67,17.622,49.879,126.584,8.59,0.42,15.251,0.195,46.146,10.188,74.51,0.22,25.27,4.2,19.24
,287,BC287,118.54,38.91,59.737,43.57,70.915,13.271,0.298,30.466,0.169,50.434,11.744,99.55,0.0,0.45,2.71,25.22
,288,BC288,118.62,38.67,57.687,32.114,126.584,9.382,0.494,27.66,0.179,48.272,11.585,0.0,100.0,0.0,7.26,24.2
,289,BC289,118.53,38.74,93.757,41.752,116.186,13.887,0.264,22.718,0.172,32.411,11.087,64.25,1.24,34.52,6.65,34.42
,290,BC290,118.66,38.71,51.411,42.043,87.766,9.519,0.26,18.269,0.122,64.164,9.412,94.47,0.3,5.24,5.2,28.72
,291,BC291,118.26,38.89,85.204,39.956,121.589,10.181,0.089,26.173,0.061,23.109,12.473,55.15,36.32,8.53,5.02,22.71
,292,BC292,118.8,38.95,86.16,33.919,108.774,6.638,0.463,17.14,0.19,9.58,11.852,100.0,0.0,0.0,6.46,30.09
,293,BC293,118.31,38.94,135.537,26.39,106.578,10.348,0.261,27.265,0.151,21.31,12.453,97.66,0.02,2.32,3.59,35.94
,294,BC294,118.26,38.73,36.555,12.23,109.017,5.124,0.319,27.126,0.199,17.882,12.898,79.08,5.78,15.14,3.31,32.6
,295,BC295,118.96,38.96,101.507,30.887,54.407,12.109,0.332,20.476,0.199,39.1,11.85,100.0,0.0,0.0,7.25,28.61
,296,BC296,118.66,38.96,53.08,42.051,124.101,12.357,0.279,27.169,0.148,43.244,12.85,98.37,0.08,1.55,2.39,28.61
,297,BC297,118.99,38.85,104.794,43.967,83.116,12.121,0.359,34.464,0.114,29.9,12.365,0.0,100.0,0.0,7.39,25.03
,298,BC298,118.54,38.98,48.309,29.47,77.205,6.84,0.436,27.325,0.141,47.016,10.72,100.0,0.0,0.0,7.43,28.36
,299,BC299,118.63,38.95,120.286,19.729,98.108,6.843,0.343,29.303,0.088,37.571,13.001,57.0,0.47,42.53,3.49,27.29
,300,BC300,118.48,38.78,41.337,37.875,32.827,8.236,0.327,18.407,0.091,43.966,9.392,40.95,59.05,0.0,5.83,22.48
,301,BC301,118.71,38.77,82.968,39.65,49.064,6.596,0.461,19.0,0.139,57.806,13.121,100.0,0.0,0.0,7.71,33.39
,302,BC302,118.75,38.8,114.075,48.182,72.869,14.518,0.364,17.327,0.09,66.535,9.211,0.01,99.99,0.0,3.68,23.76
,303,BC303,118.7,38.9,65.799,42.396,126.584,4.806,0.392,26.616,0.153,33.11,12.189,100.0,0.0,0.0,2.6,32.55
,304,BC304,118.87,38.87,66.429,39.176,31.245,4.806,0.436,18.663,0.014,33.435,11.723,100.0,0.0,0.0,4.46,28.47
,305,BC305,118.97,38.84,64.851,47.395,111.476,8.51,0.453,29.243,0.098,46.356,11.316,100.0,0.0,0.0,4.29,33.14
,306,BC306,118.67,38.96,89.683,18.282,126.584,17.051,0.383,30.52,0.099,53.168,10.655,100.0,0.0,0.0,3.13,30.39
,307,BC307,118.87,38.69,73.477,30.071,86.937,12.223,0.433,30.733,0.16,55.507,8.889,96.71,2.83,0.45,6.8,15.68
,308,BC308,118.58,38.88,111.451,43.566,122.365,7.427,0.241,32.476,0.184,49.263,11.925,100.0,0.0,0.0,6.76,28.88
,309,BC309,118.26,38.85,18.003,33.979,126.584,7.335,0.211,31.566,0.158,56.244,12.052,95.4,0.42,4.18,3.65,32.85
,310,BC310,118.79,38.91,55.134,35.422,126.584,8.66,0.452,21.64,0.035,56.981,9.871,100.0,0.0,0.0,4.78,32.81
,311,BC311,118.61,38.82,103.987,40.441,114.1,8.417,0.21,18.393,0.181,54.946,12.549,0.0,100.0,0.0,3.68,32.65
,312,BC312,118.76,38.76,21.565,35.324,90.448,12.654,0.394,14.161,0.077,61.192,10.267,100.0,0.0,0.0,7.03,25.72
,313,BC313,118.3,38.88,135.537,3.508,102.158,8.019,0.271,26.9,0.195,48.863,10.076,88.0,2.7,9.3,4.56,26.12
,314,BC314,118.96,38.96,127.057,19.754,126.584,4.806,0.414,32.132,0.189,56.906,9.403,100.0,0.0,0.0,1.4,23.07
,315,BC315,118.95,38.89,92.894,9.9,67.877,9.01,0.312,23.593,0.014,34.715,9.986,39.52,34.5,25.98,7.58,32.05
,316,BC316,118.35,38.98,95.778,44.553,126.584,5.715,0.349,30.101,0.17,28.719,12.251,100.0,0.0,0.0,4.69,35.12
,317,BC317,118.87,38.76,13.093,33.008,88.603,6.686,0.304,28.455,0.199,34.534,11.789,33.69,35.9,30.41,4.57,25.79
,318,BC318,118.99,38.93,100.784,30.18,87.453,12.225,0.409,29.13,0.12,24.07,11.924,90.18,0.51,9.31,4.59,34.3
,319,BC319,118.26,38.98,101.361,44.477,126.584,8.727,0.18,34.583,0.133,47.467,9.989,0.0,100.0,0.0,6.76,30.99
,320,BC320,118.48,38.88,70.269,44.473,91.659,7.125,0.435,25.644,0.17,23.47,11.921,0.0,100.0,0.0,5.42,29.1
,321,BC321,118.67,38.87,39.016,35.449,113.954,10.033,0.186,14.161,0.056,59.237,12.521,0.0,100.0,0.0,6.57,30.1
,322,BC322,118.66,38.86,36.831,42.872,106.599,16.559,0.336,14.161,0.199,57.067,12.184,0.0,100.0,0.0,5.87,33.02
,323,BC323,118.59,38.98,100.807,41.805,84.521,12.255,0.21,26.639,0.174,56.011,12.433,100.0,0.0,0.0,7.78,27.0
,324,BC324,118.75,38.83,22.273,30.944,116.575,12.979,0.405,27.164,0.199,20.581,12.864,38.56,0.54,60.9,3.99,26.08
,325,BC325,118.56,38.98,86.255,44.757,78.066,11.444,0.128,20.658,0.183,49.447,12.087,0.0,100.0,0.0,7.27,15.25
,326,BC326,118.29,38.93,135.174,34.971,126.584,4.806,0.372,28.879,0.142,28.564,12.722,31.27,60.73,8.0,7.45,31.58
,327,BC327,118.53,38.85,94.714,49.879,116.966,10.279,0.286,30.545,0.103,61.287,9.954,99.77,0.0,0.22,7.94,21.78
,328,BC328,118.71,38.8,103.755,37.786,119.207,6.399,0.226,27.095,0.182,40.837,11.778,100.0,0.0,0.0,4.03,33.29
,329,BC329,118.66,38.8,96.922,45.319,79.813,5.789,0.265,32.559,0.199,34.679,12.539,40.43,1.24,58.33,3.7,25.61
,330,BC330,118.99,38.85,43.599,35.861,108.04,12.332,0.505,24.013,0.164,62.365,12.123,100.0,0.0,0.0,5.07,24.82
,331,BC331,118.94,38.75,80.357,43.785,110.877,15.495,0.297,25.41,0.199,61.453,12.156,11.18,3.17,85.65,5.63,22.11
,332,BC332,118.95,38.92,119.287,17.478,97.192,15.7,0.468,19.686,0.182,57.021,10.018,9.97,75.56,14.47,4.66,25.64
,333,BC333,118.77,38.84,104.329,23.703,112.596,15.605,0.289,29.407,0.151,64.652,6.911,93.66,0.06,6.28,4.51,32.95
,334,BC334,118.57,38.83,98.727,22.605,109.024,7.217,0.438,17.138,0.182,24.323,9.408,95.3,0.08,4.62,2.53,18.27
,335,BC335,118.66,38.98,11.326,43.674,126.584,4.806,0.284,24.694,0.037,41.953,12.372,100.0,0.0,0.0,5.06,26.33
,336,BC336,118.81,38.93,135.537,3.508,126.584,5.75,0.276,24.216,0.185,26.723,11.501,86.23,10.67,3.1,6.68,32.77
,337,BC337,118.76,38.98,121.685,35.731,76.443,4.806,0.395,27.312,0.189,51.37,12.318,100.0,0.0,0.0,1.4,26.35
,338,BC338,118.26,38.79,78.839,49.879,98.161,14.176,0.42,20.795,0.191,45.814,12.246,47.67,19.51,32.82,8.09,22.75
,339,BC339,118.56,38.91,105.275,13.906,126.584,11.212,0.368,23.369,0.064,56.041,10.695,0.0,100.0,0.0,4.62,28.62
,340,BC340,118.65,38.85,48.135,38.171,84.82,10.45,0.246,25.466,0.199,23.123,11.958,0.0,100.0,0.0,3.83,30.6
,341,BC341,118.99,38.84,91.133,49.879,97.42,10.179,0.304,35.312,0.136,41.758,11.735,95.78,0.18,4.04,4.09,32.96
,342,BC342,118.6,38.78,135.537,42.337,84.72,12.559,0.392,27.01,0.18,57.473,11.309,74.44,19.32,6.23,1.49,21.46
,343,BC343,118.54,38.98,72.517,29.912,60.62,4.806,0.286,30.994,0.177,66.015,11.933,100.0,0.0,0.0,4.76,15.51
,344,BC344,118.26,38.71,78.908,20.521,45.775,13.846,0.262,27.232,0.12,43.981,6.25,100.0,0.0,0.0,2.17,31.14
,345,BC345,118.99,38.84,112.01,34.631,119.825,12.223,0.189,28.877,0.094,52.279,11.742,100.0,0.0,0.0,7.31,36.04
,346,BC346,118.99,38.8,135.537,36.925,126.584,4.806,0.266,31.3,0.147,9.489,10.623,100.0,0.0,0.0,4.91,25.7
,347,BC347,118.89,38.76,29.053,17.331,126.584,8.924,0.388,29.216,0.119,63.74,12.361,0.0,100.0,0.0,3.76,24.73
,348,BC348,118.33,38.88,84.557,31.285,120.398,4.806,0.416,14.161,0.095,50.177,13.151,0.0,100.0,0.0,7.07,27.48
,349,BC349,118.8,38.73,102.565,32.91,105.609,4.806,0.288,20.856,0.113,47.515,9.532,96.56,0.04,3.4,3.81,32.6
,350,BC350,118.74,38.96,30.668,21.49,126.584,7.191,0.167,25.237,0.092,38.035,12.491,94.8,0.87,4.34,3.8,30.5
,351,BC351,118.99,38.94,129.722,49.61,93.14,14.055,0.496,20.814,0.113,26.073,10.644,99.19,0.01,0.79,5.18,30.69
,352,BC352,118.9,38.83,74.299,23.777,86.956,6.428,0.448,18.017,0.097,33.968,11.997,63.79,1.33,34.88,5.15,32.56
,353,BC353,118.91,38.98,105.075,28.532,102.22,5.101,0.448,20.928,0.154,63.47,9.854,72.37,23.53,4.1,7.4,29.9
,354,BC354,118.5,38.73,50.217,49.879,126.584,4.806,0.449,34.619,0.148,12.779,12.251,96.77,0.61,2.63,4.75,34.99
,355,BC355,118.98,38.94,94.395,49.879,112.379,11.82,0.233,26.545,0.199,49.859,9.663,0.47,31.79,67.74,7.66,25.0
,356,BC356,118.28,38.78,43.21,38.377,18.347,12.135,0.282,14.161,0.149,41.879,12.468,1.84,71.54,26.62,2.56,31.4
,357,BC357,118.99,38.71,122.397,45.217,92.192,11.642,0.331,16.158,0.12,66.892,11.776,88.17,4.49,7.34,6.74,23.91
,358,BC358,118.33,38.79,93.712,42.339,104.386,6.129,0.42,27.893,0.13,47.811,11.986,88.08,0.31,11.61,6.92,26.03
,359,BC359,118.83,38.98,11.326,49.879,116.062,8.684,0.431,17.279,0.077,36.398,11.586,61.35,0.34,38.32,3.07,32.03
,360,BC360,118.72,38.77,95.645,45.37,118.926,13.786,0.506,19.647,0.199,52.061,12.326,0.0,100.0,0.0,5.14,28.62
,361,BC361,118.93,38.85,35.524,45.976,126.584,8.893,0.496,14.161,0.139,42.352,9.839,2.14,1.76,96.1,4.63,30.07
,362,BC362,118.93,38.89,53.432,40.954,117.187,10.492,0.225,24.942,0.128,39.817,10.593,5.62,59.18,35.21,7.46,30.09
,363,BC363,118.41,38.95,11.326,48.058,85.791,8.728,0.421,14.161,0.189,59.971,10.671,69.42,21.91,8.67,3.98,28.25
,364,BC364,118.85,38.95,53.22,41.367,98.076,4.806,0.36,26.613,0.133,61.942,11.541,100.0,0.0,0.0,7.7,28.6
,365,BC365,118.8,38.73,46.747,49.689,124.073,7.385,0.195,26.248,0.151,24.524,11.755,90.73,2.33,6.94,6.96,19.0
,366,BC366,118.28,38.98,79.338,4.471,91.657,8.787,0.372,19.158,0.056,30.678,11.753,97.96,0.05,1.98,7.48,27.88
,367,BC367,118.36,38.98,107.453,22.709,126.584,4.806,0.094,20.404,0.121,29.994,9.77,98.71,0.61,0.68,7.2,26.15
,368,BC368,118.99,38.7,15.066,15.458,107.369,18.714,0.479,30.212,0.068,56.572,12.773,23.25,70.64,6.11,5.18,31.56
,369,BC369,118.99,38.98,91.035,23.835,89.509,10.27,0.399,32.242,0.184,67.098,11.713,99.2,0.06,0.74,3.69,32.4
,370,BC370,118.71,38.75,87.87,28.101,67.289,9.249,0.38,15.185,0.146,54.156,12.645,0.0,100.0,0.0,4.73,36.04
,371,BC371,118.87,38.84,58.841,46.15,125.283,9.201,0.386,21.815,0.122,67.574,11.579,99.2,0.22,0.58,6.39,27.03
,372,BC372,118.91,38.8,30.312,47.518,91.464,11.244,0.392,25.513,0.156,30.01,12.217,100.0,0.0,0.0,5.64,24.99
,373,BC373,118.33,38.76,135.537,38.918,109.977,8.397,0.233,27.158,0.058,60.321,10.465,97.17,1.06,1.77,3.14,31.22
,374,BC374,118.42,38.8,60.221,7.591,105.078,9.528,0.223,25.866,0.19,14.08,12.518,6.42,59.16,34.42,3.91,36.04
,375,BC375,118.96,38.98,85.596,43.407,86.418,13.089,0.303,19.391,0.105,49.742,11.015,21.75,2.71,75.55,3.51,30.23
,376,BC376,118.95,38.98,119.52,21.667,101.146,9.137,0.399,25.803,0.125,64.153,11.834,96.64,2.74,0.62,7.84,25.82
,377,BC377,118.66,38.98,38.971,37.734,95.763,4.806,0.349,14.161,0.11,51.675,11.867,0.0,100.0,0.0,5.76,29.47
,378,BC378,118.26,38.72,11.894,30.741,126.584,9.736,0.331,23.702,0.198,33.395,12.118,100.0,0.0,0.0,5.05,35.93
,379,BC379,118.47,38.98,135.537,49.875,81.98,4.806,0.439,18.495,0.066,40.822,10.786,29.72,28.28,42.0,2.03,34.99
,380,BC380,118.79,38.9,119.41,45.618,118.624,4.806,0.471,30.476,0.116,45.204,11.6,100.0,0.0,0.0,3.5,29.93
,381,BC381,118.83,38.92,48.306,18.305,73.616,13.841,0.47,14.899,0.199,46.105,11.696,40.95,59.05,0.0,4.34,29.93
,382,BC382,118.65,38.69,69.6,35.97,94.645,9.594,0.46,20.571,0.176,53.676,12.177,0.0,100.0,0.0,6.58,19.08
,383,BC383,118.56,38.73,80.094,39.395,22.267,8.333,0.104,23.557,0.132,33.628,11.925,99.53,0.02,0.45,8.23,22.33
