station,sample number,longitude (° E),latitude (°N),Cr(mg/kg),Cu(mg/kg),Zn(mg/kg),As(mg/kg),Cd(mg/kg),Pb(mg/kg),Hg(mg/kg),Ni(mg/kg),Al2O3 (%),clay (%),silt (%),sand (%),"mean grain size(Mz, Φ)",water depth (m)
198,BC198,118.58,38.7,135.461,49.876,126.583,20.761,0.04,34.231,0.066,74.192,13.018,40.95,59.05,0.0,8.22,27.19
199,BC199,118.45,38.7,133.039,49.877,126.548,23.67,0.04,32.962,0.164,85.108,13.201,0.04,99.96,0.0,7.98,29.73
200,BC200,118.51,38.87,57.497,7.288,58.062,12.638,0.04,27.995,0.144,22.006,10.815,0.54,0.92,98.54,1.6,27.86
201,BC201,118.95,38.9,133.679,48.793,126.511,17.123,0.04,32.357,0.189,46.266,12.472,40.64,59.36,0.0,6.4,27.14
202,BC202,118.76,38.78,123.614,49.835,121.662,10.477,0.04,30.68,0.142,58.321,12.424,12.74,87.26,0.0,3.21,23.87
203,BC203,118.46,38.88,88.804,3.724,42.012,15.416,0.04,27.142,0.018,25.477,8.762,99.99,0.01,0.0,3.32,21.25
204,BC204,118.62,38.88,131.131,33.326,123.788,15.921,0.04,31.631,0.148,42.65,12.113,0.99,0.87,98.13,6.95,25.82
205,BC205,118.52,38.91,21.71,5.031,22.713,7.876,0.04,17.612,0.192,9.915,9.273,0.52,0.88,98.6,1.85,23.35
206,BC206,118.58,38.85,125.818,42.948,121.083,12.502,0.04,29.561,0.083,42.615,12.83,3.43,0.89,95.68,6.84,30.17
207,BC207,118.92,38.94,122.716,46.844,119.862,7.965,0.04,23.516,0.078,47.301,12.437,99.68,0.2,0.12,8.23,27.89
208,BC208,118.4,38.77,115.294,49.512,116.174,11.95,0.04,31.532,0.091,40.732,12.954,40.95,59.05,0.0,7.98,23.67
209,BC209,118.85,38.84,77.998,49.018,111.154,11.874,0.04,30.081,0.195,32.291,12.415,0.52,0.91,98.57,7.36,21.38
210,BC210,118.68,38.69,50.835,37.443,96.822,9.696,0.04,21.855,0.19,28.412,11.639,0.47,10.91,88.62,2.34,25.02
211,BC211,118.78,38.85,114.944,42.69,121.111,20.001,0.04,33.155,0.11,70.386,13.126,40.93,59.07,0.0,6.24,28.78
212,BC212,118.88,38.75,30.128,11.468,28.91,16.749,0.04,24.655,0.08,18.858,10.625,0.52,0.88,98.6,3.6,20.24
213,BC213,118.39,38.72,112.672,38.525,104.744,18.692,0.04,32.843,0.042,46.029,11.89,0.52,0.96,98.52,6.7,23.89
214,BC214,118.67,38.85,40.851,40.053,52.754,10.687,0.04,28.643,0.18,30.929,12.324,0.52,0.88,98.6,3.85,27.71
215,BC215,118.66,38.68,133.267,48.462,125.806,16.375,0.04,32.937,0.167,61.39,12.496,40.95,59.05,0.0,8.23,22.33
216,BC216,118.89,38.9,51.314,37.839,67.694,14.777,0.04,24.933,0.19,42.276,11.819,0.59,0.87,98.53,8.03,29.23
217,BC217,118.35,38.92,29.819,7.815,22.993,8.568,0.04,16.802,0.041,16.594,10.766,0.52,0.88,98.6,1.41,21.43
218,BC218,118.44,38.82,38.094,21.776,27.906,8.361,0.04,25.926,0.126,19.343,10.641,42.29,57.71,0.0,3.53,21.29
219,BC219,118.74,38.67,88.191,36.959,107.735,17.216,0.04,27.668,0.166,42.673,12.165,41.17,58.83,0.0,7.94,28.16
220,BC220,118.92,38.93,12.258,3.609,18.449,6.514,0.04,14.845,0.174,11.813,8.449,0.47,15.15,84.38,1.77,29.59
221,BC221,118.37,38.75,55.236,15.751,54.887,8.573,0.04,20.783,0.177,17.879,11.208,2.55,92.78,4.67,8.08,24.78
222,BC222,118.84,38.79,47.761,10.291,57.603,14.391,0.04,25.252,0.157,37.325,11.675,0.52,0.88,98.6,1.93,28.6
223,BC223,118.5,38.78,121.543,27.981,123.382,13.048,0.04,24.108,0.138,40.204,12.315,0.52,0.88,98.6,1.65,22.81
224,BC224,118.93,38.93,114.988,42.853,121.384,14.501,0.04,29.358,0.1,41.275,11.878,0.53,0.88,98.6,2.81,26.36
225,BC225,118.83,38.94,123.285,45.346,120.739,9.987,0.04,24.87,0.196,35.396,12.226,41.04,58.96,0.0,8.2,23.63
226,BC226,118.66,38.9,87.019,36.907,99.302,17.123,0.04,28.679,0.103,29.317,10.695,0.0,100.0,0.0,1.55,24.49
227,BC227,118.53,38.72,116.058,35.952,116.428,15.983,0.04,30.396,0.192,54.812,12.889,40.95,59.05,0.0,8.23,21.1
228,BC228,118.35,38.82,117.102,22.339,105.462,14.645,0.04,30.918,0.058,38.743,12.355,1.28,1.11,97.61,5.74,19.93
229,BC229,118.53,38.84,71.025,25.314,72.581,13.405,0.04,31.828,0.197,54.965,12.891,96.74,3.26,0.0,8.23,28.34
230,BC230,118.75,38.78,53.676,24.392,61.359,17.912,0.04,27.535,0.019,33.779,9.737,30.29,69.71,0.0,1.76,24.1
231,BC231,118.82,38.8,51.24,32.726,38.48,9.693,0.04,22.202,0.076,31.377,12.195,0.52,1.55,97.92,5.46,24.36
232,BC232,118.35,38.83,135.172,49.869,126.196,19.069,0.04,34.368,0.058,67.998,13.158,41.06,58.94,0.0,7.46,20.01
233,BC233,118.98,38.9,46.889,47.167,57.25,9.504,0.04,26.978,0.121,34.397,12.442,1.41,0.93,97.66,7.38,28.82
234,BC234,118.87,38.87,110.329,46.141,98.761,15.895,0.04,28.44,0.17,54.311,12.364,44.59,55.41,0.0,8.23,21.11
235,BC235,118.74,38.78,80.608,26.491,86.014,12.919,0.04,27.782,0.157,40.861,11.915,100.0,0.0,0.0,8.23,26.6
236,BC236,118.56,38.94,92.793,17.676,87.139,8.878,0.04,20.265,0.196,35.555,11.141,74.27,25.73,0.0,3.75,23.82
237,BC237,118.88,38.81,39.518,14.978,40.152,8.28,0.04,21.465,0.163,27.563,11.421,0.53,0.88,98.59,4.29,27.89
238,BC238,118.57,38.77,18.827,7.656,22.74,12.274,0.04,21.9,0.074,15.827,8.237,0.52,0.88,98.6,1.99,25.72
239,BC239,118.9,38.92,85.466,9.175,76.289,13.314,0.04,27.021,0.18,32.257,10.075,100.0,0.0,0.0,8.23,24.87
240,BC240,118.63,38.96,99.812,41.342,93.386,8.507,0.04,26.408,0.019,20.207,12.092,0.52,1.02,98.45,1.5,23.51
241,BC241,118.36,38.75,72.903,49.522,44.841,11.297,0.04,29.916,0.128,40.032,12.0,40.95,59.05,0.0,8.11,24.08
242,BC242,118.36,38.74,132.242,49.635,125.337,15.016,0.04,31.812,0.15,71.796,13.035,40.95,59.05,0.0,8.21,19.39
243,BC243,118.45,38.8,97.945,42.63,97.955,16.774,0.04,30.625,0.085,56.387,13.024,99.89,0.11,0.0,4.82,25.46
244,BC244,118.68,38.88,29.857,9.615,20.8,12.593,0.04,22.625,0.135,14.188,10.463,99.99,0.01,0.0,5.03,24.08
245,BC245,118.57,38.88,82.053,43.248,91.937,14.14,0.04,27.154,0.122,41.934,12.045,1.6,30.55,67.85,2.33,28.16
246,BC246,118.48,38.87,58.5,10.011,40.478,13.579,0.04,21.995,0.137,20.823,9.931,0.55,0.9,98.55,5.79,27.24
247,BC247,118.98,38.93,22.913,6.18,20.301,9.447,0.04,20.125,0.16,16.416,10.654,0.52,0.88,98.6,1.4,28.46
248,BC248,118.77,38.84,20.963,8.758,20.919,11.462,0.04,21.79,0.136,18.535,9.831,0.53,0.88,98.6,2.22,25.33
249,BC249,118.75,38.89,77.022,20.706,36.763,12.94,0.04,25.476,0.131,42.856,12.041,0.52,0.88,98.6,1.43,31.61
250,BC250,118.53,38.93,52.054,49.582,62.212,11.004,0.04,26.853,0.199,35.977,12.127,0.52,0.95,98.52,7.26,28.39
251,BC251,118.96,38.92,30.365,15.291,24.192,4.806,0.04,19.131,0.101,17.757,11.597,0.52,0.88,98.6,3.0,29.07
252,BC252,118.47,38.77,92.165,46.804,75.014,19.752,0.04,27.015,0.054,44.602,12.185,99.96,0.04,0.0,8.15,32.42
253,BC253,118.44,38.8,106.387,18.574,83.104,11.456,0.04,28.67,0.055,41.263,11.789,0.52,0.88,98.6,2.08,26.24
254,BC254,118.45,38.69,134.444,48.813,125.924,22.707,0.04,34.074,0.129,51.089,11.968,40.95,59.05,0.0,3.99,24.23
255,BC255,118.3,38.74,132.936,43.164,120.477,10.783,0.04,28.987,0.086,45.477,12.814,40.95,59.05,0.0,5.98,22.42
256,BC256,118.56,38.9,111.018,30.614,100.076,11.293,0.04,28.992,0.191,43.777,12.419,0.53,0.88,98.6,6.21,26.69
257,BC257,118.88,38.84,132.279,37.028,123.626,12.858,0.04,31.02,0.054,24.265,11.586,41.53,58.47,0.0,8.22,22.46
258,BC258,118.34,38.96,37.599,27.916,32.382,9.933,0.04,24.188,0.018,26.062,10.586,0.52,0.88,98.6,1.4,21.86
259,BC259,118.4,38.83,115.198,44.778,111.996,10.93,0.04,26.301,0.19,34.033,12.185,37.49,62.51,0.0,6.26,19.28
260,BC260,118.59,38.9,127.365,36.943,119.584,9.354,0.04,27.578,0.138,47.794,12.505,96.18,3.82,0.0,7.25,25.34
261,BC261,118.64,38.76,36.535,20.011,25.443,16.359,0.04,25.752,0.148,20.066,11.218,40.41,59.59,0.0,1.52,25.08
262,BC262,118.42,38.8,69.555,48.037,74.243,19.503,0.04,30.641,0.034,58.245,12.02,37.42,62.58,0.0,8.12,22.37
263,BC263,118.32,38.81,101.182,11.775,95.456,8.817,0.04,24.651,0.155,25.992,11.213,0.52,0.88,98.6,1.46,28.2
264,BC264,118.97,38.97,23.71,4.569,25.797,7.018,0.04,21.008,0.142,17.363,10.617,18.84,2.73,78.43,3.16,24.25
265,BC265,118.64,38.95,71.221,17.774,55.166,8.795,0.04,22.06,0.122,25.524,11.686,0.53,0.94,98.54,1.95,26.83
266,BC266,118.52,38.7,96.757,49.174,99.807,16.701,0.04,29.668,0.192,44.582,12.091,0.01,98.65,1.34,6.63,22.94
267,BC267,118.67,38.79,95.917,40.41,77.782,14.948,0.04,25.845,0.055,45.66,12.943,40.97,59.03,0.0,5.64,23.11
268,BC268,118.52,38.77,117.044,24.804,107.792,22.753,0.04,33.729,0.16,37.242,12.086,40.95,59.05,0.0,8.09,25.9
269,BC269,118.68,38.98,56.152,16.533,37.567,10.973,0.04,26.481,0.198,23.548,12.023,100.0,0.0,0.0,8.06,28.74
270,BC270,118.56,38.79,117.559,45.797,119.95,17.483,0.04,34.12,0.171,40.256,12.132,0.52,1.75,97.73,5.04,25.68
271,BC271,118.91,38.88,21.966,28.521,26.21,14.896,0.04,23.965,0.133,30.381,10.417,0.53,0.88,98.6,2.07,30.25
272,BC272,118.83,38.79,19.136,9.286,25.992,8.041,0.04,20.708,0.166,19.867,9.906,0.52,0.88,98.6,1.64,17.08
273,BC273,118.45,38.87,125.862,43.66,117.344,12.866,0.04,29.411,0.142,22.389,11.509,80.73,0.21,19.06,7.98,26.53
274,BC274,118.55,38.91,77.821,35.54,66.089,14.918,0.04,26.167,0.123,23.006,9.949,0.52,0.88,98.6,1.66,26.33
275,BC275,118.57,38.97,64.52,21.809,62.518,8.964,0.04,22.935,0.196,24.736,11.005,0.71,0.91,98.38,5.72,23.46
276,BC276,118.32,38.96,50.571,34.519,23.144,18.765,0.04,32.448,0.033,18.016,9.388,99.99,0.01,0.0,1.78,23.33
277,BC277,118.63,38.84,71.473,12.9,67.107,11.776,0.04,29.481,0.121,23.677,11.884,99.97,0.03,0.0,7.07,25.41
278,BC278,118.49,38.86,79.454,39.941,74.918,12.074,0.04,27.88,0.17,65.235,12.784,1.17,1.27,97.56,2.17,29.35
279,BC279,118.4,38.83,47.047,23.251,44.576,17.637,0.04,30.35,0.058,33.352,12.562,0.53,1.18,98.29,1.91,22.15
280,BC280,118.63,38.8,74.721,25.055,85.624,9.139,0.04,23.283,0.169,31.236,11.702,40.33,59.67,0.0,7.78,29.06
281,BC281,118.27,38.85,134.54,49.345,126.368,14.405,0.04,30.027,0.169,62.518,12.622,0.06,99.78,0.15,6.25,25.09
282,BC282,118.8,38.74,85.409,37.129,84.256,14.283,0.04,29.102,0.062,40.024,11.48,99.91,0.09,0.0,7.28,19.42
283,BC283,118.76,38.87,72.501,8.725,60.453,10.916,0.04,25.541,0.097,18.864,11.297,0.53,0.88,98.59,2.76,31.66
284,BC284,118.45,38.74,112.647,20.308,92.719,14.61,0.04,26.349,0.086,18.794,10.063,0.54,3.45,96.01,5.44,24.49
285,BC285,118.59,38.75,130.865,47.936,125.114,24.395,0.04,33.559,0.178,51.849,12.307,0.01,99.97,0.02,5.85,26.17
286,BC286,118.98,38.97,13.357,9.723,18.717,8.941,0.04,19.591,0.191,10.679,7.27,0.52,0.88,98.6,1.42,25.52
287,BC287,118.97,38.95,39.81,13.01,29.597,9.64,0.04,22.466,0.163,22.187,10.795,63.25,20.3,16.45,7.83,23.59
288,BC288,118.26,38.8,129.473,49.854,123.079,18.429,0.04,33.889,0.114,57.829,12.999,44.78,55.22,0.0,8.02,24.31
289,BC289,118.92,38.93,36.143,30.621,33.569,11.515,0.04,24.126,0.164,16.95,12.12,0.52,0.88,98.6,3.11,31.19
290,BC290,118.64,38.71,78.905,39.404,69.435,12.718,0.04,30.967,0.093,25.228,11.885,40.74,59.26,0.0,7.14,29.33
291,BC291,118.82,38.71,17.079,26.845,22.37,9.888,0.04,17.965,0.186,17.873,10.443,0.0,100.0,0.0,1.59,22.48
292,BC292,118.86,38.86,73.058,45.529,83.111,12.122,0.04,25.627,0.179,19.486,12.026,0.52,0.88,98.6,6.45,26.86
293,BC293,118.38,38.85,50.334,8.853,53.965,15.997,0.04,20.55,0.173,30.911,10.02,73.63,26.36,0.0,4.14,20.68
294,BC294,118.79,38.92,122.271,37.289,116.674,9.028,0.04,25.571,0.11,43.79,12.058,0.93,3.67,95.4,6.26,22.39
295,BC295,118.91,38.94,94.588,20.478,85.535,13.868,0.04,26.455,0.156,12.572,9.991,0.52,0.88,98.6,1.43,15.08
296,BC296,118.4,38.84,126.253,49.144,117.247,16.953,0.04,32.827,0.179,57.356,12.537,48.66,51.34,0.0,8.23,25.08
297,BC297,118.84,38.75,126.38,35.584,122.03,17.714,0.04,33.188,0.171,55.395,12.604,95.16,4.84,0.0,8.23,24.98
298,BC298,118.7,38.7,92.303,45.53,88.027,18.471,0.04,28.802,0.17,46.342,12.381,40.95,59.05,0.0,8.18,27.6
299,BC299,118.57,38.82,113.191,48.121,111.483,12.004,0.04,29.61,0.071,49.289,12.588,0.52,1.06,98.42,3.19,24.27
300,BC300,118.28,38.69,133.925,48.717,126.077,16.858,0.04,33.039,0.186,64.484,13.017,40.95,59.05,0.0,8.23,29.05
301,BC301,118.74,38.79,125.239,21.911,117.679,14.387,0.04,31.109,0.189,33.644,11.927,0.59,2.39,97.02,5.15,26.23
302,BC302,118.99,38.98,16.002,4.076,18.516,7.104,0.04,15.938,0.077,13.698,10.158,88.55,0.11,11.34,1.91,28.45
303,BC303,118.86,38.72,40.652,33.819,33.89,17.149,0.04,29.54,0.123,25.305,10.209,99.8,0.19,0.0,7.36,23.23
304,BC304,118.75,38.76,72.274,25.636,75.202,7.807,0.04,24.105,0.174,29.738,12.642,0.53,0.89,98.58,7.42,29.41
305,BC305,118.79,38.85,98.048,40.623,103.482,14.542,0.04,27.148,0.127,26.398,12.328,8.49,0.83,90.68,1.77,27.98
306,BC306,118.93,38.81,23.429,6.304,26.004,9.915,0.04,23.517,0.096,20.135,12.556,0.52,0.88,98.6,1.45,24.29
307,BC307,118.7,38.73,92.877,49.741,112.757,19.616,0.04,30.753,0.145,48.75,12.279,40.89,59.11,0.0,5.48,26.36
308,BC308,118.62,38.76,94.174,11.741,65.311,11.747,0.04,26.884,0.143,30.833,11.658,99.4,0.6,0.0,7.43,18.21
309,BC309,118.8,38.83,98.038,40.518,110.154,14.45,0.04,25.965,0.139,31.222,12.636,0.14,99.86,0.0,2.88,26.17
310,BC310,118.75,38.84,18.494,3.988,19.46,9.482,0.04,26.773,0.052,28.446,11.964,100.0,0.0,0.0,6.14,22.74
311,BC311,118.37,38.82,92.677,49.306,83.304,19.374,0.04,32.125,0.136,41.829,12.582,35.65,64.35,0.0,8.22,26.93
312,BC312,118.58,38.86,124.169,43.299,118.679,13.167,0.04,29.055,0.064,35.109,12.309,100.0,0.0,0.0,7.98,29.88
313,BC313,118.49,38.78,105.48,24.93,112.499,13.3,0.04,30.432,0.064,32.99,12.83,20.82,79.18,0.0,2.82,26.58
314,BC314,118.8,38.95,103.245,48.206,99.348,12.184,0.04,23.185,0.152,23.398,11.238,0.53,0.88,98.6,1.96,25.39
315,BC315,118.72,38.94,20.853,18.894,19.142,15.284,0.04,27.722,0.156,22.548,10.796,40.95,59.05,0.0,7.59,21.92
316,BC316,118.84,38.83,126.294,49.3,124.169,15.032,0.04,31.747,0.161,86.082,12.908,10.4,89.6,0.0,4.99,28.5
317,BC317,118.75,38.77,95.105,48.302,119.289,13.444,0.04,30.236,0.18,46.798,11.355,0.52,0.88,98.6,7.82,23.43
318,BC318,118.53,38.86,83.607,33.324,89.291,13.236,0.04,28.307,0.175,33.291,12.124,100.0,0.0,0.0,8.14,30.64
319,BC319,118.88,38.72,94.087,26.426,88.637,11.699,0.04,24.233,0.191,34.355,11.392,0.52,0.88,98.6,5.19,19.59
320,BC320,118.65,38.79,62.82,25.178,71.071,11.5,0.04,25.63,0.168,35.299,11.073,41.53,58.47,0.0,7.88,22.35
321,BC321,118.64,38.77,98.671,30.727,79.347,13.419,0.04,29.174,0.143,40.213,12.136,0.61,0.88,98.51,7.95,26.53
322,BC322,118.91,38.79,103.171,14.655,105.834,16.139,0.04,28.417,0.178,27.787,10.098,100.0,0.0,0.0,6.37,25.07
323,BC323,118.87,38.91,65.12,27.252,68.054,12.724,0.04,22.79,0.174,20.615,11.595,36.84,0.64,62.52,7.15,29.27
324,BC324,118.92,38.77,114.794,34.761,114.542,12.698,0.04,28.804,0.133,48.168,12.572,40.96,59.04,0.0,8.23,30.01
325,BC325,118.3,38.71,118.922,46.492,104.596,16.806,0.04,34.703,0.15,43.209,12.792,40.95,59.05,0.0,8.23,20.13
326,BC326,118.8,38.8,124.977,45.246,121.944,21.687,0.04,30.164,0.18,51.9,11.296,0.51,5.83,93.66,1.72,35.5
327,BC327,118.98,38.96,57.544,46.797,104.445,8.739,0.04,24.633,0.185,30.168,12.429,0.53,0.91,98.56,2.11,30.68
328,BC328,118.62,38.74,85.754,32.035,96.406,13.926,0.04,24.531,0.146,41.837,11.968,47.43,52.57,0.0,8.2,26.55
329,BC329,118.97,38.97,50.799,35.345,46.552,8.319,0.04,22.909,0.193,29.902,11.852,0.53,0.88,98.6,2.35,26.21
330,BC330,118.77,38.69,56.126,16.461,50.32,11.199,0.04,25.08,0.159,29.845,12.65,0.54,0.91,98.56,7.94,25.16
331,BC331,118.66,38.76,106.132,41.532,103.141,19.493,0.04,31.781,0.135,37.696,12.223,0.53,0.88,98.6,4.26,23.02
332,BC332,118.34,38.9,77.477,33.68,86.846,11.773,0.04,23.183,0.142,31.639,12.107,2.41,88.06,9.54,7.16,19.51
333,BC333,118.96,38.72,50.212,10.385,43.184,11.92,0.04,18.787,0.11,20.651,10.109,0.56,0.91,98.52,2.48,27.29
334,BC334,118.63,38.74,132.053,49.195,124.948,20.604,0.04,29.491,0.15,64.137,11.845,0.53,0.88,98.59,7.13,26.75
335,BC335,118.55,38.87,26.179,4.655,19.197,14.696,0.04,20.06,0.147,15.243,8.95,0.52,0.88,98.6,2.41,23.68
336,BC336,118.94,38.9,20.078,7.383,21.181,11.927,0.04,24.286,0.125,17.028,11.259,80.26,1.21,18.54,2.06,33.07
337,BC337,118.74,38.71,117.099,38.231,118.375,14.425,0.04,23.793,0.099,35.735,11.757,0.53,0.92,98.56,5.81,24.24
338,BC338,118.98,38.86,63.504,8.707,51.876,14.589,0.04,28.876,0.14,16.664,9.887,12.71,0.78,86.51,2.42,25.24
339,BC339,118.66,38.79,109.738,23.718,74.35,10.89,0.04,24.306,0.184,30.067,9.224,90.01,9.99,0.0,5.74,27.41
340,BC340,118.84,38.76,111.187,48.498,116.734,21.715,0.04,34.384,0.051,48.7,12.941,0.83,0.89,98.29,6.23,31.03
341,BC341,118.87,38.92,47.111,37.1,88.502,7.416,0.04,23.058,0.196,31.575,12.183,0.01,99.69,0.29,7.95,28.94
342,BC342,118.42,38.92,32.746,27.013,26.62,9.211,0.04,22.673,0.058,28.899,12.004,0.52,2.43,97.05,5.59,26.08
343,BC343,118.92,38.96,59.936,22.907,70.739,13.245,0.04,26.516,0.118,15.546,8.403,0.52,0.88,98.6,2.18,24.28
344,BC344,118.8,38.8,22.168,12.166,20.069,12.139,0.04,26.273,0.129,20.994,10.986,0.52,0.88,98.6,1.53,19.86
345,BC345,118.85,38.92,112.653,19.802,92.807,16.225,0.04,27.693,0.109,46.728,12.048,40.95,59.05,0.0,1.84,26.92
346,BC346,118.48,38.71,128.009,48.818,122.153,11.689,0.04,28.242,0.138,43.009,12.554,37.96,62.04,0.0,6.5,26.77
347,BC347,118.96,38.67,80.106,45.429,80.52,9.815,0.04,21.959,0.181,67.996,11.664,1.41,98.59,0.0,8.18,22.45
348,BC348,118.78,38.84,75.817,44.241,79.455,13.631,0.04,25.758,0.191,38.874,11.662,0.65,0.88,98.48,8.16,30.78
349,BC349,118.95,38.85,47.834,48.671,58.442,9.428,0.04,23.056,0.095,27.446,10.672,0.52,0.91,98.56,2.45,27.42
350,BC350,118.88,38.89,124.16,48.88,126.395,19.071,0.04,30.21,0.086,52.806,11.806,21.87,78.13,0.0,7.63,26.08
351,BC351,118.45,38.78,85.269,5.116,60.5,9.843,0.04,24.676,0.065,33.603,12.176,0.5,5.23,94.26,7.33,19.62
352,BC352,118.87,38.83,75.004,45.334,66.059,7.973,0.04,25.303,0.171,33.781,12.25,55.6,44.4,0.0,8.22,28.68
353,BC353,118.85,38.84,26.675,10.77,26.446,18.877,0.04,22.001,0.171,23.773,10.708,0.52,2.07,97.41,1.41,25.31
354,BC354,118.67,38.79,56.596,22.753,50.877,16.563,0.04,29.154,0.074,28.579,11.547,0.39,27.19,72.43,7.31,24.4
355,BC355,118.77,38.9,119.795,40.66,121.229,9.53,0.04,25.827,0.07,29.668,12.01,0.53,0.88,98.59,5.54,31.1
356,BC356,118.81,38.97,32.995,11.461,29.095,7.378,0.04,21.317,0.142,16.489,8.153,0.53,0.88,98.6,7.04,21.14
357,BC357,118.48,38.82,134.212,47.313,126.57,13.972,0.04,32.622,0.191,50.562,12.73,0.52,0.88,98.6,2.33,30.22
358,BC358,118.68,38.8,69.571,20.297,69.241,9.586,0.04,27.399,0.109,45.364,12.431,29.99,70.01,0.0,8.19,21.59
359,BC359,118.32,38.94,28.171,11.47,25.358,15.852,0.04,31.036,0.085,22.073,12.239,0.52,0.88,98.6,6.22,25.11
360,BC360,118.78,38.79,21.653,7.987,21.135,11.302,0.04,20.158,0.09,20.837,8.816,0.52,0.88,98.6,1.42,25.09
361,BC361,118.76,38.68,133.789,49.742,126.539,16.216,0.04,31.087,0.093,62.581,12.774,1.21,0.94,97.85,7.14,29.39
362,BC362,118.31,38.79,47.06,11.768,62.732,16.995,0.04,30.437,0.066,26.551,12.045,0.52,0.88,98.6,1.43,25.51
363,BC363,118.63,38.94,51.64,45.346,34.879,12.64,0.04,25.864,0.147,35.519,11.254,0.59,0.88,98.53,4.22,21.7
364,BC364,118.65,38.75,133.452,48.367,125.732,12.846,0.04,31.01,0.143,51.551,12.78,53.11,46.89,0.0,8.17,27.52
365,BC365,118.73,38.98,33.29,12.04,34.085,11.837,0.04,23.187,0.118,25.626,9.926,0.52,0.88,98.6,3.13,24.72
366,BC366,118.69,38.9,47.024,40.908,32.847,14.3,0.04,23.158,0.088,32.931,11.352,0.0,100.0,0.0,6.13,27.25
367,BC367,118.51,38.96,98.019,38.039,88.663,11.044,0.04,26.118,0.153,22.527,11.461,0.52,0.88,98.6,4.82,22.48
368,BC368,118.67,38.72,120.698,48.655,115.501,14.725,0.04,30.167,0.184,52.256,11.905,72.14,27.86,0.0,7.79,28.8
369,BC369,118.69,38.71,129.291,49.182,125.695,15.255,0.04,31.898,0.092,94.692,13.073,40.95,59.05,0.0,8.23,25.66
370,BC370,118.98,38.69,34.373,24.005,37.972,11.625,0.04,23.27,0.16,25.665,12.051,0.52,0.88,98.6,1.72,28.98
371,BC371,118.41,38.89,66.444,14.377,49.521,9.452,0.04,26.154,0.049,23.221,12.037,41.01,58.99,0.0,8.18,20.3
372,BC372,118.42,38.83,73.29,6.004,68.642,16.323,0.04,28.534,0.198,23.826,11.907,38.21,61.79,0.0,8.09,15.81
373,BC373,118.71,38.93,17.502,3.596,19.056,16.32,0.04,24.378,0.023,13.357,8.147,0.52,0.88,98.6,1.44,26.16
374,BC374,118.32,38.74,89.462,43.662,78.546,15.88,0.04,31.499,0.117,43.424,12.454,0.0,99.91,0.09,5.77,21.71
375,BC375,118.55,38.84,129.655,49.801,124.279,17.73,0.04,32.361,0.155,37.237,12.749,40.95,59.05,0.0,8.23,28.96
376,BC376,118.52,38.7,107.221,48.48,118.584,16.09,0.04,31.521,0.158,52.817,12.95,72.02,27.98,0.0,8.23,32.06
377,BC377,118.81,38.88,106.844,43.356,84.405,14.844,0.04,29.971,0.165,47.119,12.391,43.87,56.13,0.0,8.08,28.95
378,BC378,118.43,38.7,123.388,49.81,124.058,19.864,0.04,33.094,0.129,63.312,12.99,40.63,59.37,0.0,8.19,20.77
379,BC379,118.63,38.68,127.514,49.041,120.806,15.956,0.04,33.085,0.123,73.981,13.208,40.95,59.05,0.0,8.07,19.76
380,BC380,118.5,38.84,118.963,37.601,95.053,20.907,0.04,27.909,0.104,32.434,11.262,40.22,59.78,0.0,1.68,26.12
381,BC381,118.32,38.78,115.696,38.38,108.507,16.224,0.04,26.145,0.073,63.855,12.695,84.51,15.49,0.0,7.81,30.95
382,BC382,118.85,38.83,31.582,6.707,36.238,10.345,0.04,22.276,0.185,16.62,9.917,0.63,0.88,98.49,1.53,28.82
383,BC383,118.56,38.85,108.427,46.937,101.551,25.038,0.04,33.406,0.087,48.695,11.987,25.54,74.46,0.0,1.74,25.47
384,BC384,118.86,38.7,82.431,47.683,95.952,8.098,0.04,26.995,0.194,39.141,12.752,5.76,94.24,0.0,8.23,23.39
385,BC385,118.61,38.83,117.228,43.437,118.306,19.233,0.04,30.481,0.187,76.925,13.032,40.95,59.05,0.0,8.23,25.32
386,BC386,118.72,38.71,131.957,46.441,123.785,12.927,0.04,27.835,0.151,45.264,11.528,0.53,0.97,98.51,1.94,24.2
387,BC387,118.35,38.88,61.967,47.717,74.929,12.199,0.04,23.428,0.171,29.036,12.088,3.13,96.87,0.0,2.56,23.67
388,BC388,118.52,38.93,129.553,38.753,120.602,16.089,0.04,28.954,0.126,36.672,12.402,100.0,0.0,0.0,7.88,22.83
389,BC389,118.42,38.69,133.834,49.415,126.461,18.384,0.04,33.461,0.089,69.263,12.908,0.53,0.9,98.57,7.99,22.45
390,BC390,118.7,38.78,100.674,49.247,109.014,14.386,0.04,31.164,0.044,50.605,12.461,0.07,99.93,0.0,3.09,27.64
391,BC391,118.95,38.96,29.411,4.081,20.217,8.636,0.04,16.866,0.151,14.088,10.523,0.52,0.88,98.6,1.44,23.77
392,BC392,118.9,38.96,65.349,13.134,56.44,11.369,0.04,26.939,0.12,30.065,12.109,77.29,0.2,22.51,2.93,30.14
393,BC393,118.44,38.82,27.548,8.782,22.69,12.218,0.04,22.886,0.069,19.611,11.173,0.52,0.88,98.6,4.87,24.16
394,BC394,118.32,38.93,22.096,11.045,24.198,13.431,0.04,24.273,0.061,18.801,10.314,0.52,0.88,98.6,2.34,23.34
